Hit ID,Hit Def,E-value,Score,Identities,Positives,Gaps,Alignment Length
sp|Q6AXT1.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5 [Rattus norvegicus],5.96447e-83,651.0,123,174,1,276
sp|Q6AXT1.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5 [Rattus norvegicus],1.81007e-25,264.0,64,96,7,220
sp|Q6AXT1.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5 [Rattus norvegicus],1.06879e-10,156.0,36,54,2,107
sp|Q9R059.2|,RecName: Full=Four and a half LIM domains protein 3; Short=FHL-3; AltName: Full=Skeletal muscle LIM-protein 2; Short=SLIM-2 [Mus musculus],2.23761e-82,648.0,123,175,8,286
sp|Q9R059.2|,RecName: Full=Four and a half LIM domains protein 3; Short=FHL-3; AltName: Full=Skeletal muscle LIM-protein 2; Short=SLIM-2 [Mus musculus],4.41166e-26,268.0,62,95,7,218
sp|Q2YDK0.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5 [Bos taurus],5.2381e-82,645.0,121,174,1,277
sp|Q2YDK0.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5 [Bos taurus],2.96349e-28,283.0,66,98,7,218
sp|Q2YDK0.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5 [Bos taurus],2.09679e-09,146.0,33,51,2,98
sp|Q5TD97.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5; AltName: Full=Activator of cAMP-responsive element modulator in testis; Short=Activator of CREM in testis [Homo sapiens],3.39055e-80,633.0,121,168,1,276
sp|Q5TD97.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5; AltName: Full=Activator of cAMP-responsive element modulator in testis; Short=Activator of CREM in testis [Homo sapiens],1.77334e-25,264.0,64,96,7,218
sp|Q5TD97.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5; AltName: Full=Activator of cAMP-responsive element modulator in testis; Short=Activator of CREM in testis [Homo sapiens],1.51313e-09,147.0,33,56,2,107
sp|Q4R7A4.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5 [Macaca fascicularis],1.4682e-79,628.0,120,168,1,277
sp|Q4R7A4.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5 [Macaca fascicularis],1.60057e-25,264.0,63,96,7,220
sp|Q4R7A4.1|,RecName: Full=Four and a half LIM domains protein 5; Short=FHL-5 [Macaca fascicularis],5.62217e-10,151.0,34,56,2,107
sp|P49023.3|,RecName: Full=Paxillin [Homo sapiens],1.32832e-22,252.0,69,97,4,220
sp|P49023.3|,RecName: Full=Paxillin [Homo sapiens],1.58065e-16,205.0,51,73,7,173
sp|Q5R7I1.1|,RecName: Full=Paxillin [Pongo abelii],1.35363e-22,252.0,69,97,4,220
sp|Q5R7I1.1|,RecName: Full=Paxillin [Pongo abelii],1.50915e-16,205.0,51,73,7,173
sp|O60711.1|,RecName: Full=Leupaxin [Homo sapiens],1.52107e-22,248.0,66,100,9,243
sp|O60711.1|,RecName: Full=Leupaxin [Homo sapiens],5.76998e-06,120.0,31,43,5,113
sp|Q66H76.1|,RecName: Full=Paxillin [Rattus norvegicus],1.52963e-22,251.0,69,96,4,220
sp|Q66H76.1|,RecName: Full=Paxillin [Rattus norvegicus],9.6216e-17,206.0,51,74,7,173
sp|Q8VI36.1|,RecName: Full=Paxillin [Mus musculus],2.2109e-22,250.0,69,96,4,220
sp|Q8VI36.1|,RecName: Full=Paxillin [Mus musculus],9.23743e-17,207.0,51,74,7,173
sp|P49024.1|,RecName: Full=Paxillin [Gallus gallus],2.84071e-22,249.0,69,97,4,220
sp|P49024.1|,RecName: Full=Paxillin [Gallus gallus],4.29132e-16,201.0,51,73,7,173
sp|A1Z6W3.1|,RecName: Full=Protein prickle; AltName: Full=Protein spiny legs [Drosophila melanogaster],4.93569e-22,248.0,50,78,6,162
sp|A1Z6W3.1|,RecName: Full=Protein prickle; AltName: Full=Protein spiny legs [Drosophila melanogaster],2.19084e-12,173.0,31,47,2,97
sp|A1Z6W3.1|,RecName: Full=Protein prickle; AltName: Full=Protein spiny legs [Drosophila melanogaster],3.51927e-07,132.0,29,53,10,132
sp|Q2KJ33.2|,RecName: Full=LIM and senescent cell antigen-like-containing domain protein 2; AltName: Full=Particularly interesting new Cys-His protein 2; Short=PINCH-2 [Bos taurus],1.52476e-21,239.0,80,114,18,283
sp|Q2KJ33.2|,RecName: Full=LIM and senescent cell antigen-like-containing domain protein 2; AltName: Full=Particularly interesting new Cys-His protein 2; Short=PINCH-2 [Bos taurus],5.57943e-17,205.0,59,94,13,253
sp|Q292U2.3|,RecName: Full=Protein prickle [Drosophila pseudoobscura pseudoobscura],1.76043e-21,244.0,50,77,6,162
sp|Q292U2.3|,RecName: Full=Protein prickle [Drosophila pseudoobscura pseudoobscura],3.60949e-12,172.0,31,47,2,97
sp|Q292U2.3|,RecName: Full=Protein prickle [Drosophila pseudoobscura pseudoobscura],3.09924e-07,132.0,29,54,10,132
sp|Q8MML5.1|,RecName: Full=Paxillin-B [Dictyostelium discoideum],1.79888e-21,243.0,63,94,4,217
sp|Q8MML5.1|,RecName: Full=Paxillin-B [Dictyostelium discoideum],4.30525e-16,201.0,66,97,9,243
sp|Q91XD2.1|,RecName: Full=LIM and senescent cell antigen-like-containing domain protein 2; AltName: Full=Particularly interesting new Cys-His protein 2; Short=PINCH-2 [Mus musculus],3.08658e-21,236.0,78,115,16,282
sp|Q91XD2.1|,RecName: Full=LIM and senescent cell antigen-like-containing domain protein 2; AltName: Full=Particularly interesting new Cys-His protein 2; Short=PINCH-2 [Mus musculus],1.08396e-17,210.0,60,95,13,253
sp|Q9N261.1|,RecName: Full=Leupaxin [Oryctolagus cuniculus],3.17675e-21,238.0,67,99,9,242
sp|Q9N261.1|,RecName: Full=Leupaxin [Oryctolagus cuniculus],1.05234e-05,118.0,30,43,5,113
sp|Q09476.2|,RecName: Full=Paxillin homolog 1 [Caenorhabditis elegans],3.88083e-21,238.0,76,103,10,272
sp|Q09476.2|,RecName: Full=Paxillin homolog 1 [Caenorhabditis elegans],4.57347e-16,200.0,58,93,4,221
sp|Q99JW4.3|,RecName: Full=LIM and senescent cell antigen-like-containing domain protein 1; AltName: Full=Particularly interesting new Cys-His protein 1; Short=PINCH-1 [Mus musculus],4.67892e-21,234.0,77,110,26,274
sp|Q99JW4.3|,RecName: Full=LIM and senescent cell antigen-like-containing domain protein 1; AltName: Full=Particularly interesting new Cys-His protein 1; Short=PINCH-1 [Mus musculus],4.46041e-20,227.0,61,99,13,254
sp|P48059.4|,RecName: Full=LIM and senescent cell antigen-like-containing domain protein 1; AltName: Full=Particularly interesting new Cys-His protein 1; Short=PINCH-1; AltName: Full=Renal carcinoma antigen NY-REN-48 [Homo sapiens],5.65334e-21,234.0,77,110,26,274
sp|P48059.4|,RecName: Full=LIM and senescent cell antigen-like-containing domain protein 1; AltName: Full=Particularly interesting new Cys-His protein 1; Short=PINCH-1; AltName: Full=Renal carcinoma antigen NY-REN-48 [Homo sapiens],4.97386e-20,227.0,61,99,13,254
sp|Q7Z4I7.1|,RecName: Full=LIM and senescent cell antigen-like-containing domain protein 2; AltName: Full=LIM-like protein 2; AltName: Full=Particularly interesting new Cys-His protein 2; Short=PINCH-2 [Homo sapiens],9.00336e-21,233.0,79,112,18,283
sp|Q7Z4I7.1|,RecName: Full=LIM and senescent cell antigen-like-containing domain protein 2; AltName: Full=LIM-like protein 2; AltName: Full=Particularly interesting new Cys-His protein 2; Short=PINCH-2 [Homo sapiens],5.85586e-17,205.0,60,94,13,259
sp|Q99N69.2|,RecName: Full=Leupaxin [Mus musculus],2.62308e-20,231.0,66,97,9,242
sp|Q6P7E4.1|,RecName: Full=PDZ and LIM domain protein 7 [Danio rerio],9.05273e-20,228.0,56,80,5,176
sp|Q6P7E4.1|,RecName: Full=PDZ and LIM domain protein 7 [Danio rerio],6.08838e-12,168.0,54,74,6,172
sp|Q6P7E4.1|,RecName: Full=PDZ and LIM domain protein 7 [Danio rerio],6.8606e-12,168.0,44,71,2,148
sp|Q62219.2|,RecName: Full=Transforming growth factor beta-1-induced transcript 1 protein; AltName: Full=Androgen receptor-associated protein of 55 kDa; AltName: Full=Hydrogen peroxide-inducible clone 5 protein; Short=Hic-5; AltName: Full=TGF beta-stimulated clone 5; Short=TSC-5 [Mus musculus],1.5003e-19,227.0,71,93,9,242
sp|Q679P3.1|,RecName: Full=PDZ and LIM domain protein 7; AltName: Full=LIM mineralization protein; Short=LMP [Gallus gallus],1.55009e-19,226.0,58,79,5,176
sp|Q679P3.1|,RecName: Full=PDZ and LIM domain protein 7; AltName: Full=LIM mineralization protein; Short=LMP [Gallus gallus],4.41092e-15,192.0,47,72,2,148
sp|Q174I2.1|,RecName: Full=Protein prickle [Aedes aegypti],1.74878e-19,228.0,57,87,10,180
sp|Q174I2.1|,RecName: Full=Protein prickle [Aedes aegypti],2.38181e-14,188.0,48,77,10,163
sp|Q174I2.1|,RecName: Full=Protein prickle [Aedes aegypti],1.3024e-09,151.0,35,54,3,118
sp|Q174I2.1|,RecName: Full=Protein prickle [Aedes aegypti],0.0113563,95.0,25,41,4,101
sp|Q3MHZ4.2|,RecName: Full=Transforming growth factor beta-1-induced transcript 1 protein; AltName: Full=Hydrogen peroxide-inducible clone 5 protein; Short=Hic-5 [Bos taurus],2.59374e-19,225.0,71,92,9,242
sp|O43294.2|,RecName: Full=Transforming growth factor beta-1-induced transcript 1 protein; AltName: Full=Androgen receptor coactivator 55 kDa protein; AltName: Full=Androgen receptor-associated protein of 55 kDa; AltName: Full=Hydrogen peroxide-inducible clone 5 protein; Short=Hic-5 [Homo sapiens],2.65392e-19,225.0,71,92,9,242
sp|Q99PD6.2|,RecName: Full=Transforming growth factor beta-1-induced transcript 1 protein; AltName: Full=Androgen receptor-associated protein of 55 kDa; AltName: Full=Hydrogen peroxide-inducible clone 5 protein; Short=Hic-5 [Rattus norvegicus],2.9462e-19,225.0,71,92,9,242
sp|Q6INU3.1|,RecName: Full=PDZ and LIM domain protein 7 [Xenopus laevis],5.73777e-19,222.0,69,100,12,241
sp|Q6INU3.1|,RecName: Full=PDZ and LIM domain protein 7 [Xenopus laevis],3.1286e-14,186.0,49,71,2,151
sp|Q3TJD7.1|,RecName: Full=PDZ and LIM domain protein 7; AltName: Full=LIM mineralization protein; Short=LMP; AltName: Full=Protein enigma [Mus musculus],7.54838e-19,222.0,60,86,6,201
sp|Q3TJD7.1|,RecName: Full=PDZ and LIM domain protein 7; AltName: Full=LIM mineralization protein; Short=LMP; AltName: Full=Protein enigma [Mus musculus],1.39929e-12,173.0,45,69,2,148
sp|Q3TJD7.1|,RecName: Full=PDZ and LIM domain protein 7; AltName: Full=LIM mineralization protein; Short=LMP; AltName: Full=Protein enigma [Mus musculus],2.74101e-05,115.0,34,51,5,122
sp|Q9Z1Z9.1|,RecName: Full=PDZ and LIM domain protein 7; AltName: Full=LIM mineralization protein; Short=LMP; AltName: Full=Protein enigma [Rattus norvegicus],8.78497e-19,221.0,60,85,6,201
sp|Q9Z1Z9.1|,RecName: Full=PDZ and LIM domain protein 7; AltName: Full=LIM mineralization protein; Short=LMP; AltName: Full=Protein enigma [Rattus norvegicus],3.93604e-13,178.0,45,70,2,148
sp|P50464.1|,RecName: Full=LIM domain-containing protein unc-97; AltName: Full=PINCH homolog; AltName: Full=Uncoordinated protein 97 [Caenorhabditis elegans],9.34028e-19,218.0,80,119,16,302
sp|P50464.1|,RecName: Full=LIM domain-containing protein unc-97; AltName: Full=PINCH homolog; AltName: Full=Uncoordinated protein 97 [Caenorhabditis elegans],2.23971e-15,193.0,65,94,14,257
sp|Q3SX40.1|,RecName: Full=PDZ and LIM domain protein 7 [Bos taurus],2.04169e-18,218.0,55,77,5,176
sp|Q3SX40.1|,RecName: Full=PDZ and LIM domain protein 7 [Bos taurus],1.04526e-12,174.0,45,69,2,148
sp|Q3SX40.1|,RecName: Full=PDZ and LIM domain protein 7 [Bos taurus],7.99504e-06,119.0,35,52,5,122
sp|O75112.2|,RecName: Full=LIM domain-binding protein 3; AltName: Full=Protein cypher; AltName: Full=Z-band alternatively spliced PDZ-motif protein [Homo sapiens],3.01696e-18,219.0,62,81,17,196
sp|O75112.2|,RecName: Full=LIM domain-binding protein 3; AltName: Full=Protein cypher; AltName: Full=Z-band alternatively spliced PDZ-motif protein [Homo sapiens],5.28309e-14,185.0,48,71,9,148
sp|O75112.2|,RecName: Full=LIM domain-binding protein 3; AltName: Full=Protein cypher; AltName: Full=Z-band alternatively spliced PDZ-motif protein [Homo sapiens],8.62625e-11,160.0,48,70,4,153
sp|O75112.2|,RecName: Full=LIM domain-binding protein 3; AltName: Full=Protein cypher; AltName: Full=Z-band alternatively spliced PDZ-motif protein [Homo sapiens],9.45691e-06,120.0,42,57,16,157
sp|O75112.2|,RecName: Full=LIM domain-binding protein 3; AltName: Full=Protein cypher; AltName: Full=Z-band alternatively spliced PDZ-motif protein [Homo sapiens],0.000238704,108.0,28,39,0,87
sp|O75112.2|,RecName: Full=LIM domain-binding protein 3; AltName: Full=Protein cypher; AltName: Full=Z-band alternatively spliced PDZ-motif protein [Homo sapiens],1.88263,76.0,19,27,1,49
sp|Q9JKS4.1|,RecName: Full=LIM domain-binding protein 3; AltName: Full=Protein cypher; AltName: Full=Protein oracle; AltName: Full=Z-band alternatively spliced PDZ-motif protein [Mus musculus],1.23369e-17,214.0,61,80,17,196
sp|Q9JKS4.1|,RecName: Full=LIM domain-binding protein 3; AltName: Full=Protein cypher; AltName: Full=Protein oracle; AltName: Full=Z-band alternatively spliced PDZ-motif protein [Mus musculus],8.46891e-15,192.0,48,72,2,148
sp|Q9JKS4.1|,RecName: Full=LIM domain-binding protein 3; AltName: Full=Protein cypher; AltName: Full=Protein oracle; AltName: Full=Z-band alternatively spliced PDZ-motif protein [Mus musculus],3.35014e-11,163.0,48,70,4,153
sp|Q9JKS4.1|,RecName: Full=LIM domain-binding protein 3; AltName: Full=Protein cypher; AltName: Full=Protein oracle; AltName: Full=Z-band alternatively spliced PDZ-motif protein [Mus musculus],7.69827e-05,112.0,29,39,0,87
sp|Q9JKS4.1|,RecName: Full=LIM domain-binding protein 3; AltName: Full=Protein cypher; AltName: Full=Protein oracle; AltName: Full=Z-band alternatively spliced PDZ-motif protein [Mus musculus],0.912277,79.0,19,28,1,49
sp|Q9NR12.1|,RecName: Full=PDZ and LIM domain protein 7; AltName: Full=LIM mineralization protein; Short=LMP; AltName: Full=Protein enigma [Homo sapiens],1.50888e-17,212.0,55,77,5,176
sp|Q9NR12.1|,RecName: Full=PDZ and LIM domain protein 7; AltName: Full=LIM mineralization protein; Short=LMP; AltName: Full=Protein enigma [Homo sapiens],5.38523e-12,169.0,45,69,2,148
sp|Q9NR12.1|,RecName: Full=PDZ and LIM domain protein 7; AltName: Full=LIM mineralization protein; Short=LMP; AltName: Full=Protein enigma [Homo sapiens],4.31734e-05,114.0,34,51,5,122
sp|Q62920.2|,RecName: Full=PDZ and LIM domain protein 5; AltName: Full=Enigma homolog; AltName: Full=Enigma-like PDZ and LIM domains protein [Rattus norvegicus],3.22319e-16,202.0,61,83,10,201
sp|Q62920.2|,RecName: Full=PDZ and LIM domain protein 5; AltName: Full=Enigma homolog; AltName: Full=Enigma-like PDZ and LIM domains protein [Rattus norvegicus],4.89457e-13,178.0,45,73,2,148
sp|Q62920.2|,RecName: Full=PDZ and LIM domain protein 5; AltName: Full=Enigma homolog; AltName: Full=Enigma-like PDZ and LIM domains protein [Rattus norvegicus],1.22253e-09,151.0,44,67,4,153
sp|Q62920.2|,RecName: Full=PDZ and LIM domain protein 5; AltName: Full=Enigma homolog; AltName: Full=Enigma-like PDZ and LIM domains protein [Rattus norvegicus],0.000170331,109.0,28,38,0,87
sp|Q80VL3.1|,RecName: Full=Prickle planar cell polarity protein 3; AltName: Full=LIM domain only protein 6; Short=LMO-6; AltName: Full=Prickle-like protein 3; Short=Pk3; AltName: Full=Triple LIM domain protein 6 [Mus musculus],3.3918e-16,202.0,57,82,10,180
sp|Q80VL3.1|,RecName: Full=Prickle planar cell polarity protein 3; AltName: Full=LIM domain only protein 6; Short=LMO-6; AltName: Full=Prickle-like protein 3; Short=Pk3; AltName: Full=Triple LIM domain protein 6 [Mus musculus],5.62568e-13,177.0,50,77,11,179
sp|O43900.2|,RecName: Full=Prickle planar cell polarity protein 3; AltName: Full=LIM domain only protein 6; Short=LMO-6; AltName: Full=Prickle-like protein 3; Short=Pk3; AltName: Full=Triple LIM domain protein 6 [Homo sapiens],3.97259e-16,202.0,57,82,10,180
sp|O43900.2|,RecName: Full=Prickle planar cell polarity protein 3; AltName: Full=LIM domain only protein 6; Short=LMO-6; AltName: Full=Prickle-like protein 3; Short=Pk3; AltName: Full=Triple LIM domain protein 6 [Homo sapiens],3.10762e-13,179.0,50,77,11,179
